Application. ID,Age,Gender,Location,Parents Edu.,Siblings,RAM-1 Score,RAM-2 Score,HS Score,School Rank,SOP,Admission Status
Ref#12132,23 yrs,Female,Western,M,No,97,100,79%,High,2.0,Yes
Ref#12148,23 yrs,Female,Western,F,No,46,36,64%,Avg,1.5,No
Ref#12157,17 yrs,Female,Western,M+F,No,82,98,84%,Avg,1.0,Yes
Ref#12167,15 yrs,Female,Eastern,M+F,No,21,16,65%,Low,2.0,No
Ref#12171,15 yrs,Male,Central,F,No,34,27,64%,Low,4.5,Yes
Ref#12181,19 yrs,Female,Central,F,No,24,19,21%,Avg,1.5,No
Ref#12197,20 yrs,Male,Western,F,No,44,35,54%,High,2.0,No
Ref#12202,23 yrs,Female,Western,M+F,No,66,79,72%,High,1.5,No
Ref#12219,18 yrs,Male,Western,M+F,Yes,67,80,78%,Low,2.5,Yes
Ref#12229,16 yrs,Male,Western,M+F,Yes,66,79,70%,Avg,3.0,Yes
Ref#12231,15 yrs,Male,Eastern,F,Yes,27,21,21%,Avg,2.0,No
Ref#12246,20 yrs,Male,Western,F,No,77,92,40%,Avg,1.0,Yes
Ref#12258,19 yrs,Female,Central,M+F,No,36,28,55%,High,4.0,Yes
Ref#12267,23 yrs,Male,Central,F,Yes,53,63,37%,High,1.5,No
Ref#12277,20 yrs,Male,Western,M+F,No,51,61,81%,Low,3.5,Yes
Ref#12289,23 yrs,Female,Western,M+F,Yes,64,76,24%,Low,3.0,Yes
Ref#12290,17 yrs,Female,Western,F,No,80,96,66%,Low,1.0,Yes
Ref#12307,19 yrs,Female,Central,M,No,58,69,99%,Avg,4.5,Yes
Ref#12311,21 yrs,Male,Western,F,Yes,64,76,74%,Low,2.0,No
Ref#12320,16 yrs,Female,Central,M+F,Yes,86,100,16%,Avg,1.0,Yes
Ref#12335,22 yrs,Female,Central,M,Yes,71,85,31%,Avg,2.0,No
Ref#12349,22 yrs,Male,Central,F,Yes,96,100,73%,High,2.5,Yes
Ref#12358,21 yrs,Female,Eastern,M+F,No,68,81,92%,Low,2.0,No
Ref#12365,17 yrs,Female,Eastern,M+F,Yes,44,35,34%,Avg,1.5,Yes
Ref#12378,18 yrs,Male,Eastern,F,Yes,50,60,52%,Avg,3.5,Yes
Ref#12382,16 yrs,Male,Western,M+F,Yes,23,18,50%,High,1.5,Yes
Ref#12398,22 yrs,Female,Eastern,M+F,No,76,91,23%,Low,1.0,Yes
Ref#12402,19 yrs,Male,Central,M+F,Yes,89,100,33%,Avg,2.0,Yes
Ref#12413,18 yrs,Female,Western,M+F,No,78,93,61%,Low,1.0,Yes
Ref#12426,20 yrs,Male,Central,M,No,99,100,76%,Avg,4.0,Yes
Ref#12434,16 yrs,Male,Eastern,M+F,No,22,17,49%,Low,2.5,No
Ref#12444,16 yrs,Female,Western,M+F,Yes,38,30,83%,Low,2.5,Yes
Ref#12452,15 yrs,Female,Central,M+F,Yes,69,82,100%,Avg,1.5,Yes
Ref#12461,15 yrs,Male,Central,M,Yes,17,13,55%,High,2.0,No
Ref#12472,21 yrs,Female,Central,M,No,68,81,38%,Avg,2.0,No
Ref#12481,17 yrs,Female,Western,M+F,Yes,63,75,57%,High,2.0,Yes
Ref#12496,21 yrs,Female,Western,M,Yes,51,61,77%,High,2.0,Yes
Ref#12502,21 yrs,Female,Central,M,Yes,82,98,40%,High,1.0,Yes
Ref#12516,15 yrs,Male,Eastern,M+F,Yes,20,16,29%,High,3.5,Yes
Ref#12529,19 yrs,Female,Central,F,Yes,92,100,24%,High,3.0,Yes
Ref#12532,18 yrs,Male,Central,F,No,19,15,64%,Avg,4.0,Yes
Ref#12541,23 yrs,Male,Eastern,M+F,Yes,42,33,47%,Low,3.5,Yes
Ref#12554,22 yrs,Male,Central,M,Yes,58,69,61%,Low,1.5,No
Ref#12564,19 yrs,Male,Central,M,Yes,95,100,50%,Avg,1.5,Yes
Ref#12573,18 yrs,Male,Central,M,No,80,96,85%,High,2.5,Yes
Ref#12582,15 yrs,Female,Eastern,M+F,Yes,80,96,92%,Avg,4.0,Yes
Ref#12590,17 yrs,Female,Western,M+F,No,91,100,87%,Avg,2.5,Yes
Ref#12605,19 yrs,Male,Central,M,No,100,100,86%,Avg,3.0,Yes
Ref#12617,19 yrs,Male,Eastern,M+F,Yes,31,24,36%,Low,3.0,Yes
Ref#12620,19 yrs,Male,Eastern,M,No,63,75,85%,Low,4.0,Yes
Ref#12633,23 yrs,Male,Central,F,Yes,66,79,86%,Low,4.0,Yes
Ref#12647,23 yrs,Male,Western,F,No,46,36,72%,Low,3.5,Yes
Ref#12658,17 yrs,Male,Eastern,M,No,94,100,58%,Low,4.5,Yes
Ref#12668,23 yrs,Female,Central,M+F,No,69,82,83%,High,4.0,Yes
Ref#12670,16 yrs,Male,Eastern,F,Yes,100,100,54%,High,1.5,Yes
Ref#12688,18 yrs,Female,Eastern,F,Yes,78,93,59%,Low,3.5,Yes
Ref#12696,15 yrs,Female,Eastern,M,Yes,55,66,57%,Avg,3.0,No
Ref#12702,19 yrs,Male,Central,M+F,No,78,93,29%,Avg,4.5,Yes
Ref#12719,22 yrs,Male,Western,M+F,Yes,74,88,48%,Low,2.5,Yes
Ref#12721,22 yrs,Female,Western,F,No,39,31,30%,Low,5.0,Yes
Ref#12738,23 yrs,Male,Central,M+F,No,54,64,50%,High,1.5,No
Ref#12744,23 yrs,Male,Central,M,No,90,100,28%,Avg,1.5,Yes
Ref#12757,20 yrs,Female,Western,M,Yes,85,100,44%,High,3.5,Yes
Ref#12760,22 yrs,Female,Eastern,M+F,Yes,48,38,52%,High,3.5,Yes
Ref#12775,20 yrs,Male,Eastern,M+F,No,23,18,17%,Avg,3.0,No
Ref#12788,22 yrs,Male,Central,M+F,No,22,17,32%,Avg,2.5,No
Ref#12791,18 yrs,Male,Central,M,No,12,9,82%,Avg,4.5,Yes
Ref#12809,19 yrs,Male,Western,F,Yes,44,35,20%,Avg,2.5,No
Ref#12814,19 yrs,Male,Western,M,Yes,38,30,22%,Avg,2.5,No
Ref#12827,17 yrs,Male,Eastern,M,Yes,52,62,84%,Avg,4.0,Yes
Ref#12836,23 yrs,Male,Central,M,No,25,20,52%,High,4.0,Yes
Ref#12845,17 yrs,Male,Western,M+F,No,21,16,75%,Avg,4.5,Yes
Ref#12852,18 yrs,Female,Eastern,M+F,Yes,35,28,32%,Avg,1.0,Yes
Ref#12866,21 yrs,Female,Central,M,No,20,16,46%,High,4.0,Yes
Ref#12872,22 yrs,Female,Central,M,No,17,13,70%,Low,2.5,No
Ref#12880,21 yrs,Male,Western,M,No,96,100,80%,Avg,1.5,Yes
Ref#12892,19 yrs,Female,Central,M,No,32,25,63%,High,3.5,Yes
Ref#12905,23 yrs,Male,Eastern,M,No,95,100,49%,High,4.5,Yes
Ref#12917,18 yrs,Male,Eastern,M+F,Yes,10,8,98%,Low,2.0,Yes
Ref#12929,19 yrs,Female,Central,M+F,No,67,80,97%,Low,3.0,No
Ref#12931,17 yrs,Female,Western,F,Yes,45,36,49%,High,4.5,Yes
Ref#12942,20 yrs,Female,Western,M,No,31,24,50%,High,3.0,No
Ref#12955,17 yrs,Male,Central,M+F,Yes,96,100,10%,High,1.5,Yes
Ref#12968,16 yrs,Female,Eastern,M+F,Yes,83,99,36%,High,3.0,Yes
Ref#12973,22 yrs,Female,Central,M,No,32,25,79%,Low,1.0,No
Ref#12986,18 yrs,Female,Western,M+F,No,93,100,34%,Low,4.5,Yes
Ref#12997,18 yrs,Female,Eastern,F,No,62,74,92%,Avg,1.0,No
Ref#13007,21 yrs,Female,Western,F,No,24,19,30%,Avg,4.0,Yes
Ref#13016,22 yrs,Male,Central,F,No,98,100,53%,Low,2.0,Yes
Ref#13029,16 yrs,Male,Eastern,M,No,12,9,100%,Low,4.5,Yes
Ref#13038,22 yrs,Male,Central,M+F,No,80,96,20%,High,2.0,Yes
Ref#13042,16 yrs,Female,Central,M,Yes,92,100,47%,High,3.5,Yes
Ref#13057,23 yrs,Male,Central,M,No,89,100,33%,Low,4.0,Yes
Ref#13061,19 yrs,Female,Central,F,Yes,40,32,63%,Low,3.5,Yes
Ref#13079,20 yrs,Male,Western,F,No,91,100,81%,Avg,4.0,Yes
Ref#13085,21 yrs,Male,Central,M,Yes,49,39,90%,Low,2.5,No
Ref#13098,17 yrs,Male,Western,F,No,10,8,77%,Avg,3.5,Yes
Ref#13104,20 yrs,Male,Western,M+F,Yes,97,100,56%,Avg,2.0,Yes
Ref#13116,15 yrs,Male,Eastern,M,No,24,19,57%,Low,1.5,No
Ref#13128,23 yrs,Female,Western,M,No,47,37,14%,High,2.0,No
Ref#13131,19 yrs,Male,Central,M+F,No,59,70,96%,Avg,1.5,No
Ref#13143,16 yrs,Female,Central,M,No,55,66,27%,Low,3.5,Yes
Ref#13153,22 yrs,Female,Western,F,No,40,32,54%,Avg,4.5,Yes
Ref#13163,23 yrs,Male,Western,M,Yes,31,24,25%,Low,2.0,No
Ref#13177,17 yrs,Female,Eastern,F,Yes,52,62,74%,High,3.5,Yes
Ref#13181,19 yrs,Male,Western,M+F,No,31,24,94%,Avg,2.0,No
Ref#13193,22 yrs,Female,Central,F,Yes,41,32,57%,High,4.0,Yes
Ref#13207,22 yrs,Male,Eastern,M,No,97,100,34%,Avg,3.5,Yes
Ref#13213,19 yrs,Male,Central,M,No,57,68,45%,Low,3.5,Yes
Ref#13227,21 yrs,Male,Western,M,No,73,87,68%,High,4.0,Yes
Ref#13233,23 yrs,Male,Western,F,No,50,60,73%,Low,3.0,No
Ref#13244,20 yrs,Female,Eastern,M,Yes,32,25,54%,Avg,3.0,No
Ref#13250,19 yrs,Male,Central,M,No,18,14,70%,Avg,2.5,No
Ref#13266,21 yrs,Male,Central,M,Yes,28,22,53%,High,4.0,Yes
Ref#13273,18 yrs,Male,Western,M,No,42,33,19%,Low,1.0,No
Ref#13285,23 yrs,Male,Eastern,M+F,No,41,32,66%,Avg,3.0,No
Ref#13294,22 yrs,Male,Western,M+F,No,17,13,60%,High,2.0,No
Ref#13306,22 yrs,Female,Central,M+F,Yes,51,61,43%,Low,4.0,Yes
Ref#13314,22 yrs,Female,Central,M+F,No,91,100,56%,High,4.5,Yes
Ref#13329,19 yrs,Female,Eastern,F,Yes,63,75,60%,Avg,4.5,Yes
Ref#13337,15 yrs,Female,Central,M+F,Yes,54,64,96%,Avg,4.5,Yes
Ref#13349,20 yrs,Male,Eastern,M+F,No,71,85,88%,Low,2.5,No
Ref#13358,16 yrs,Female,Central,M,Yes,57,68,64%,High,3.5,Yes
Ref#13362,23 yrs,Male,Central,M+F,Yes,54,64,54%,High,1.5,Yes
Ref#13377,22 yrs,Female,Eastern,M,No,67,80,83%,High,4.0,Yes
Ref#13381,18 yrs,Male,Western,F,Yes,20,16,23%,Low,3.0,No
Ref#13395,21 yrs,Male,Western,F,No,61,73,99%,High,4.5,Yes
Ref#13401,21 yrs,Male,Central,M,No,62,74,40%,Low,3.0,No
Ref#13413,20 yrs,Female,Western,M+F,No,96,100,43%,High,1.0,Yes
Ref#13420,15 yrs,Female,Eastern,M+F,No,93,100,99%,High,1.5,Yes
Ref#13436,19 yrs,Male,Eastern,M,No,42,33,96%,High,1.5,Yes
Ref#13449,19 yrs,Female,Central,M,Yes,21,16,81%,High,4.0,Yes
Ref#13458,20 yrs,Female,Central,M+F,No,80,96,26%,Avg,4.0,Yes
Ref#13466,23 yrs,Female,Eastern,M+F,Yes,27,21,98%,Avg,3.0,Yes
Ref#13479,15 yrs,Female,Eastern,M,Yes,85,100,86%,Avg,3.0,Yes
Ref#13481,15 yrs,Male,Central,M+F,No,76,91,55%,Low,3.5,Yes
Ref#13497,18 yrs,Male,Eastern,M+F,Yes,73,87,15%,Avg,2.5,Yes
Ref#13505,22 yrs,Male,Central,M+F,No,98,100,90%,Low,4.0,Yes
Ref#13514,16 yrs,Male,Eastern,M,Yes,73,87,73%,Low,2.0,No
Ref#13523,17 yrs,Female,Eastern,M+F,Yes,15,12,56%,High,3.0,Yes
Ref#13535,16 yrs,Male,Western,M+F,Yes,17,13,11%,High,2.5,Yes
Ref#13540,21 yrs,Female,Western,F,Yes,43,34,10%,Low,3.0,No
Ref#13558,15 yrs,Male,Central,M,Yes,83,99,16%,Avg,3.0,Yes
Ref#13563,19 yrs,Female,Western,M,Yes,35,28,93%,Low,4.0,Yes
Ref#13579,20 yrs,Female,Central,M,Yes,73,87,11%,High,2.0,No
Ref#13581,20 yrs,Male,Western,M,Yes,64,76,21%,Avg,1.0,No
Ref#13593,18 yrs,Male,Western,M,Yes,79,94,48%,Avg,3.5,Yes
Ref#13609,15 yrs,Male,Eastern,M+F,No,46,36,13%,Avg,2.0,No
Ref#13616,19 yrs,Male,Western,M+F,No,34,27,30%,Low,2.5,No
Ref#13625,21 yrs,Female,Central,M+F,No,55,66,10%,Avg,4.5,Yes
Ref#13634,21 yrs,Male,Western,M+F,Yes,72,86,49%,Avg,3.0,Yes
Ref#13646,22 yrs,Female,Central,F,No,71,85,71%,Avg,4.0,Yes
Ref#13653,19 yrs,Male,Central,M+F,Yes,34,27,62%,Low,2.0,Yes
Ref#13669,18 yrs,Male,Western,M+F,Yes,75,90,26%,High,3.5,Yes
Ref#13676,21 yrs,Female,Western,M+F,No,66,79,71%,Avg,4.5,Yes
Ref#13685,18 yrs,Female,Central,M,No,100,100,30%,High,4.0,Yes
Ref#13695,23 yrs,Female,Western,F,No,87,100,25%,Avg,3.5,Yes
Ref#13706,20 yrs,Male,Eastern,M+F,No,65,78,86%,Avg,2.5,No
Ref#13718,22 yrs,Female,Western,F,No,100,100,29%,Low,4.0,Yes
Ref#13728,15 yrs,Male,Eastern,M+F,Yes,14,11,77%,Avg,4.5,Yes
Ref#13731,17 yrs,Female,Eastern,M,No,89,100,38%,Avg,2.0,Yes
Ref#13748,21 yrs,Female,Western,M,Yes,87,100,36%,High,1.5,Yes
Ref#13752,16 yrs,Female,Central,M+F,Yes,73,87,72%,High,3.5,Yes
Ref#13762,15 yrs,Male,Central,F,Yes,94,100,34%,High,3.0,Yes
Ref#13778,21 yrs,Male,Western,F,No,34,27,10%,Avg,4.0,Yes
Ref#13786,16 yrs,Male,Eastern,F,Yes,97,100,69%,Avg,4.0,Yes
Ref#13796,15 yrs,Female,Western,M,No,43,34,68%,Avg,1.0,No
Ref#13800,22 yrs,Female,Western,M+F,Yes,82,98,40%,Low,4.0,Yes
Ref#13813,22 yrs,Female,Central,F,Yes,20,16,98%,High,2.5,Yes
Ref#13827,21 yrs,Female,Central,F,Yes,19,15,42%,Low,4.0,Yes
Ref#13837,22 yrs,Female,Central,F,No,45,36,35%,High,3.5,Yes
Ref#13848,18 yrs,Male,Eastern,F,Yes,47,37,90%,Avg,2.5,No
Ref#13857,16 yrs,Female,Eastern,M+F,Yes,58,69,42%,High,1.5,Yes
Ref#13862,20 yrs,Male,Western,F,Yes,24,19,18%,High,3.0,No
Ref#13870,17 yrs,Male,Eastern,M+F,No,78,93,78%,High,4.5,Yes
Ref#13881,21 yrs,Male,Western,M+F,No,10,8,34%,Avg,3.0,No
Ref#13897,23 yrs,Male,Western,M,No,46,36,59%,Low,3.0,No
Ref#13900,17 yrs,Male,Eastern,M+F,No,85,100,75%,Avg,2.0,Yes
Ref#13912,20 yrs,Male,Eastern,M,No,13,10,22%,High,3.5,Yes
Ref#13928,15 yrs,Female,Eastern,M+F,Yes,97,100,44%,High,1.5,Yes
Ref#13931,18 yrs,Male,Eastern,F,Yes,34,27,79%,Low,3.5,Yes
Ref#13946,18 yrs,Male,Central,M+F,Yes,43,34,19%,Low,4.0,Yes
Ref#13959,21 yrs,Female,Western,M+F,No,57,68,35%,High,2.5,No
Ref#13965,20 yrs,Male,Eastern,M,Yes,25,20,25%,Avg,3.5,Yes
Ref#13971,17 yrs,Male,Eastern,M,Yes,92,100,13%,Avg,3.0,Yes
Ref#13989,20 yrs,Male,Central,M+F,Yes,45,36,79%,Avg,4.0,Yes
Ref#13999,19 yrs,Male,Western,M,Yes,94,100,11%,Avg,4.0,Yes
Ref#14002,19 yrs,Female,Western,F,No,61,73,66%,Avg,1.0,No
Ref#14015,19 yrs,Female,Central,M+F,No,41,32,46%,Low,2.0,No
Ref#14023,16 yrs,Female,Central,M+F,No,99,100,88%,Low,2.0,Yes
Ref#14031,22 yrs,Male,Western,M,No,73,87,52%,Low,4.5,Yes
Ref#14042,17 yrs,Female,Eastern,M+F,Yes,53,63,91%,Low,4.5,Yes
Ref#14057,20 yrs,Female,Eastern,F,No,48,38,90%,Low,3.0,No
Ref#14063,20 yrs,Male,Eastern,F,Yes,82,98,91%,High,2.5,Yes
Ref#14074,22 yrs,Male,Central,M+F,Yes,51,61,41%,Avg,4.0,Yes
Ref#14088,19 yrs,Male,Central,M+F,Yes,16,12,70%,Avg,3.5,Yes
Ref#14091,15 yrs,Male,Western,M+F,Yes,49,39,45%,Avg,4.0,Yes
Ref#14101,18 yrs,Female,Eastern,M,Yes,80,96,34%,High,4.0,Yes
Ref#14111,20 yrs,Male,Western,F,Yes,89,100,73%,High,1.5,Yes
Ref#14129,20 yrs,Female,Eastern,M,Yes,90,100,32%,High,5.0,Yes
Ref#14137,18 yrs,Female,Central,F,Yes,80,96,46%,Low,2.5,Yes
Ref#14145,21 yrs,Female,Eastern,F,No,35,28,16%,Low,3.0,No
Ref#14154,16 yrs,Male,Western,M,No,62,74,53%,Avg,2.5,No
Ref#14169,19 yrs,Male,Central,M+F,Yes,98,100,12%,Low,4.0,Yes
Ref#14178,21 yrs,Male,Central,M,Yes,60,72,62%,Low,1.5,No
Ref#14181,21 yrs,Female,Eastern,M+F,Yes,87,100,16%,Low,4.0,Yes
Ref#14192,18 yrs,Female,Central,F,Yes,55,66,44%,Low,2.0,No
Ref#14208,16 yrs,Female,Central,F,No,20,16,100%,Avg,4.0,Yes
Ref#14210,16 yrs,Male,Eastern,M,Yes,76,91,94%,Low,4.0,Yes
Ref#14220,19 yrs,Male,Eastern,M+F,No,26,20,94%,High,3.5,Yes
Ref#14230,15 yrs,Female,Central,M,No,74,88,31%,High,4.0,Yes
Ref#14241,19 yrs,Female,Central,M,Yes,37,29,97%,Low,4.0,Yes
Ref#14257,18 yrs,Female,Central,F,No,72,86,97%,Low,3.0,No
Ref#14264,19 yrs,Female,Western,M,No,39,31,83%,Low,2.0,No
Ref#14272,22 yrs,Male,Central,M+F,No,73,87,44%,Low,4.5,Yes
Ref#14287,16 yrs,Male,Western,M+F,No,70,84,61%,High,1.0,No
Ref#14293,23 yrs,Female,Central,F,No,73,87,82%,High,2.5,Yes
Ref#14306,17 yrs,Male,Eastern,M+F,Yes,57,68,34%,Low,1.5,Yes
Ref#14315,21 yrs,Male,Eastern,M+F,No,75,90,67%,Avg,3.5,Yes
Ref#14325,19 yrs,Female,Western,F,No,35,28,45%,Low,2.0,No
Ref#14336,19 yrs,Female,Western,M+F,Yes,40,32,83%,Low,4.0,Yes
Ref#14346,17 yrs,Male,Central,M,No,59,70,39%,High,4.5,Yes
Ref#14359,15 yrs,Male,Western,F,Yes,37,29,28%,Avg,3.5,Yes
Ref#14362,20 yrs,Male,Central,M,No,52,62,60%,Low,1.5,No
Ref#14370,21 yrs,Male,Eastern,M,No,93,100,35%,High,3.5,Yes
Ref#14382,18 yrs,Male,Western,F,No,69,82,40%,High,2.0,No
Ref#14399,23 yrs,Female,Central,F,No,92,100,11%,Low,2.0,Yes
Ref#14400,23 yrs,Female,Central,M+F,Yes,78,93,41%,High,2.0,Yes
Ref#14417,19 yrs,Female,Western,M,Yes,98,100,71%,High,1.0,Yes
Ref#14421,18 yrs,Female,Eastern,M+F,Yes,64,76,63%,Avg,2.5,Yes
Ref#14433,19 yrs,Male,Eastern,M,No,37,29,33%,Low,5.0,Yes
Ref#14441,19 yrs,Female,Central,F,No,63,75,57%,Avg,4.5,Yes
Ref#14451,16 yrs,Male,Central,M,Yes,56,67,19%,Avg,3.0,No
Ref#14466,15 yrs,Male,Central,F,Yes,49,39,39%,High,2.5,No
Ref#14478,22 yrs,Female,Western,M+F,No,92,100,21%,High,1.5,Yes
Ref#14485,15 yrs,Female,Eastern,M+F,No,13,10,47%,High,2.0,No
Ref#14497,15 yrs,Male,Central,F,Yes,78,93,60%,Low,3.5,Yes
Ref#14501,17 yrs,Male,Western,M,No,58,69,40%,Low,2.0,No
Ref#14510,17 yrs,Female,Central,F,Yes,50,60,67%,Avg,1.5,No
Ref#14527,16 yrs,Male,Central,M,No,97,100,54%,High,1.5,Yes
Ref#14530,22 yrs,Female,Western,F,No,24,19,29%,High,4.0,Yes
Ref#14544,20 yrs,Female,Western,M+F,Yes,17,13,80%,High,1.5,Yes
Ref#14559,15 yrs,Female,Central,F,Yes,85,100,30%,Low,2.0,Yes
Ref#14564,16 yrs,Male,Central,F,No,27,21,37%,Avg,4.5,Yes
Ref#14576,19 yrs,Female,Central,F,Yes,32,25,29%,Low,4.0,Yes
Ref#14588,20 yrs,Female,Central,M,No,98,100,90%,Avg,1.5,Yes
Ref#14591,23 yrs,Female,Eastern,F,Yes,29,23,48%,Low,4.5,Yes
Ref#14606,21 yrs,Male,Western,M,Yes,68,81,25%,Low,2.0,No
Ref#14615,21 yrs,Female,Central,M+F,No,40,32,49%,Avg,3.0,No
Ref#14621,21 yrs,Female,Eastern,F,Yes,52,62,13%,High,3.5,Yes
Ref#14634,17 yrs,Male,Eastern,M,No,76,91,88%,Low,3.5,Yes
Ref#14642,17 yrs,Female,Central,M,Yes,45,36,58%,High,3.0,No
Ref#14652,21 yrs,Female,Eastern,M,Yes,80,96,83%,Low,1.0,Yes
Ref#14662,15 yrs,Male,Central,M,No,36,28,18%,Low,2.5,No
Ref#14676,18 yrs,Female,Western,F,No,49,39,92%,High,4.0,Yes
Ref#14687,19 yrs,Male,Eastern,F,Yes,92,100,79%,High,4.5,Yes
Ref#14694,17 yrs,Male,Western,M,Yes,13,10,77%,Avg,4.5,Yes
Ref#14700,20 yrs,Female,Central,M+F,No,15,12,40%,Avg,3.5,Yes
Ref#14714,16 yrs,Female,Eastern,F,No,81,97,66%,High,2.0,Yes
Ref#14722,17 yrs,Female,Central,M+F,No,63,75,73%,Low,4.0,Yes
Ref#14735,20 yrs,Male,Western,M,Yes,57,68,74%,High,1.5,No
Ref#14749,17 yrs,Female,Eastern,M,Yes,59,70,49%,Low,3.5,Yes
Ref#14759,15 yrs,Female,Eastern,F,No,49,39,88%,Avg,1.5,No
Ref#14767,23 yrs,Male,Eastern,M+F,Yes,13,10,23%,High,4.0,Yes
Ref#14772,18 yrs,Male,Central,F,No,12,9,86%,Avg,4.0,Yes
Ref#14789,22 yrs,Female,Eastern,M+F,Yes,31,24,26%,High,3.5,Yes
Ref#14792,15 yrs,Male,Eastern,M,No,43,34,69%,Low,1.5,No
Ref#14806,18 yrs,Female,Eastern,M,No,31,24,19%,High,3.5,Yes
Ref#14810,19 yrs,Male,Central,F,No,47,37,41%,High,1.0,No
Ref#14822,21 yrs,Female,Central,M,Yes,42,33,35%,Low,3.0,No
Ref#14832,17 yrs,Female,Central,F,No,31,24,49%,Low,4.0,Yes
Ref#14841,16 yrs,Female,Central,F,No,75,90,77%,Low,3.5,Yes
Ref#14854,23 yrs,Male,Western,F,No,29,23,25%,Avg,4.0,Yes
Ref#14862,18 yrs,Male,Western,M,Yes,28,22,67%,Avg,3.0,No
Ref#14873,17 yrs,Male,Eastern,M+F,Yes,65,78,63%,Avg,3.5,Yes
Ref#14889,23 yrs,Male,Western,F,No,82,98,65%,High,1.5,Yes
Ref#14896,21 yrs,Male,Eastern,M+F,Yes,89,100,62%,Low,3.5,Yes
Ref#14901,16 yrs,Male,Central,F,No,78,93,54%,High,3.0,Yes
Ref#14918,19 yrs,Male,Western,F,No,28,22,15%,Low,3.0,No
Ref#14929,22 yrs,Male,Western,F,Yes,54,64,88%,Avg,2.0,No
Ref#14931,22 yrs,Female,Eastern,M+F,No,60,72,77%,Low,4.5,Yes
Ref#14940,15 yrs,Female,Eastern,M,No,72,86,11%,High,1.0,No
Ref#14954,19 yrs,Male,Central,F,No,33,26,78%,Low,3.5,Yes
Ref#14963,17 yrs,Female,Western,F,No,60,72,61%,Low,3.0,No
Ref#14974,17 yrs,Male,Eastern,F,No,94,100,79%,Low,4.5,Yes
Ref#14989,23 yrs,Female,Central,M+F,No,15,12,43%,High,1.5,No
Ref#14995,22 yrs,Female,Eastern,M,No,83,99,13%,Low,2.0,Yes
Ref#15003,17 yrs,Male,Central,F,No,78,93,64%,High,4.5,Yes
Ref#15017,20 yrs,Female,Eastern,M,Yes,59,70,26%,High,5.0,Yes
Ref#15027,15 yrs,Male,Eastern,F,No,42,33,20%,Low,2.5,No
Ref#15039,17 yrs,Female,Eastern,F,No,87,100,15%,Low,3.0,Yes
Ref#15045,19 yrs,Female,Western,F,No,26,20,29%,Low,2.5,No
Ref#15057,17 yrs,Male,Central,M,No,48,38,20%,Avg,4.5,Yes
Ref#15068,20 yrs,Female,Western,M+F,No,98,100,77%,High,4.5,Yes
Ref#15076,16 yrs,Female,Central,M,Yes,51,61,49%,Low,2.5,No
Ref#15085,17 yrs,Female,Western,M+F,Yes,79,94,94%,Low,3.0,Yes
Ref#15097,18 yrs,Female,Western,F,No,44,35,12%,Avg,3.5,Yes
Ref#15109,19 yrs,Male,Eastern,M+F,Yes,82,98,57%,Avg,3.5,Yes
Ref#15113,18 yrs,Female,Central,F,No,75,90,76%,Avg,1.0,No
Ref#15125,22 yrs,Male,Central,M+F,Yes,64,76,60%,Avg,4.0,Yes
Ref#15130,19 yrs,Male,Central,M,Yes,82,98,18%,Avg,1.5,Yes
Ref#15145,15 yrs,Male,Central,M+F,No,76,91,28%,Low,1.0,Yes
Ref#15156,15 yrs,Male,Eastern,F,No,10,8,69%,Avg,2.5,No
Ref#15167,22 yrs,Male,Western,M,No,53,63,55%,Low,3.5,Yes
Ref#15178,17 yrs,Male,Eastern,F,Yes,92,100,27%,High,2.0,Yes
Ref#15180,22 yrs,Female,Central,M,No,72,86,50%,Low,4.0,Yes
Ref#15190,20 yrs,Female,Eastern,M+F,Yes,33,26,66%,Avg,4.5,Yes
Ref#15200,18 yrs,Male,Central,F,Yes,84,100,11%,Avg,2.5,Yes
Ref#15219,22 yrs,Female,Central,F,No,97,100,94%,Low,1.5,Yes
Ref#15226,22 yrs,Female,Western,M+F,No,92,100,80%,High,2.0,Yes
Ref#15232,23 yrs,Female,Eastern,M,No,42,33,38%,High,3.5,Yes
Ref#15247,17 yrs,Male,Western,M,No,34,27,73%,Avg,3.0,No
Ref#15255,21 yrs,Male,Central,M+F,Yes,10,8,59%,Low,2.5,Yes
Ref#15264,17 yrs,Male,Eastern,F,Yes,51,61,83%,Avg,2.0,No
Ref#15279,23 yrs,Male,Western,M,Yes,56,67,26%,Avg,4.5,Yes
Ref#15289,16 yrs,Male,Western,M,No,61,73,18%,High,2.0,No
Ref#15298,18 yrs,Female,Eastern,F,No,92,100,22%,High,1.0,Yes
Ref#15300,22 yrs,Male,Central,M+F,No,11,8,23%,Avg,3.5,Yes
Ref#15315,19 yrs,Female,Western,F,Yes,68,81,51%,High,2.5,No
Ref#15323,15 yrs,Male,Western,M,No,57,68,75%,Avg,4.5,Yes
Ref#15336,17 yrs,Female,Eastern,F,No,51,61,89%,Avg,2.0,No
Ref#15344,15 yrs,Male,Central,F,Yes,35,28,11%,High,4.5,Yes
Ref#15351,22 yrs,Male,Eastern,F,No,47,37,95%,Avg,4.0,Yes
Ref#15367,21 yrs,Female,Eastern,M+F,No,13,10,75%,Low,3.5,Yes
Ref#15371,22 yrs,Female,Western,F,No,97,100,27%,High,1.5,Yes
Ref#15388,21 yrs,Male,Eastern,M+F,Yes,24,19,42%,Avg,1.5,Yes
