Quiz-1,Quiz-2,Quiz-3,Quiz-4,Major-1,Major-2,Major-3,Final
15,14,8,15,79,87,75,76
15,16,6,8,55,43,43,47
11,8,9,3,38,32,37,30
16,6,22,15,71,75,76,69
6,21,21,12,39,46,50,39
17,10,24,17,71,72,82,72
14,25,21,19,57,63,62,61
23,22,25,22,93,82,84,89
4,21,9,6,45,38,42,36
11,17,22,10,42,43,49,39
16,17,24,15,47,48,63,52
18,24,22,16,90,88,93,85
15,5,9,6,39,57,54,42
8,13,15,8,45,40,53,41
10,9,24,8,40,43,49,37
19,23,15,14,92,88,87,85
6,10,15,10,23,31,38,27
12,16,13,18,57,71,71,65
16,24,21,23,96,97,89,91
17,12,8,19,61,67,58,68
9,14,12,9,39,36,46,36
15,25,25,19,78,69,86,72
9,5,15,13,60,53,65,53
20,5,21,22,94,83,88,87
13,9,12,13,72,75,67,70
13,13,16,11,43,44,47,42
15,18,23,21,79,94,95,85
10,11,8,9,61,62,56,57
7,17,13,4,28,22,21,22
3,5,9,7,36,31,37,26
10,6,17,17,59,63,67,61
23,23,12,22,85,85,77,86
11,7,23,9,33,40,34,34
19,15,15,20,67,66,85,73
17,15,22,23,77,88,81,83
10,16,24,4,20,23,31,18
3,20,14,9,30,18,13,24
12,12,10,11,68,57,65,56
9,7,5,10,47,48,51,44
2,10,23,0,26,28,12,21
5,5,17,13,36,39,48,40
15,22,11,15,57,44,49,53
18,5,21,14,61,58,62,58
2,12,17,8,37,28,29,30
12,12,20,11,62,61,47,58
13,10,7,16,78,75,82,70
5,22,8,9,49,43,32,39
14,5,21,16,55,58,45,59
8,12,9,8,20,28,12,27
10,12,25,8,14,19,26,20
2,19,15,7,15,15,21,16
14,5,23,15,46,55,48,55
16,7,8,20,92,76,94,81
16,16,24,20,93,83,83,82
10,25,10,10,32,24,31,31
21,6,23,23,81,72,83,78
9,24,23,1,25,20,28,16
25,14,12,17,99,85,93,88
11,5,19,7,21,24,21,27
14,17,19,14,55,40,59,50
10,19,6,6,22,37,35,30
9,9,10,6,45,48,50,41
23,25,24,23,94,92,84,94
14,11,10,21,63,67,72,67
5,8,23,12,43,34,36,35
9,18,17,13,73,55,65,60
22,20,19,25,98,83,85,90
12,25,9,17,69,74,78,69
2,13,25,6,24,24,35,22
20,11,15,21,77,84,77,85
18,6,8,19,90,79,92,82
16,6,10,13,71,78,70,70
20,23,15,17,70,73,65,73
11,20,10,11,21,30,32,33
14,19,10,19,92,79,86,78
16,5,6,15,80,86,81,75
8,15,20,13,45,37,36,41
2,17,23,10,12,12,13,18
12,8,17,20,79,79,83,75
16,13,19,13,66,72,75,65
14,24,15,18,64,66,67,64
23,17,24,22,75,81,71,83
17,17,10,18,64,50,52,59
11,10,9,21,79,79,65,74
2,25,21,8,27,36,33,27
17,25,24,21,88,89,91,84
9,11,14,6,42,37,48,34
6,19,12,12,42,45,36,40
6,19,7,9,25,33,25,29
9,10,14,8,63,53,57,52
8,17,22,14,37,50,35,48
4,25,24,14,45,38,35,38
9,20,12,4,23,13,18,19
14,5,24,17,74,68,71,70
18,8,6,13,67,71,73,65
13,6,13,15,72,53,73,59
16,19,18,11,66,62,60,61
16,18,7,16,95,100,83,89
12,15,25,17,72,66,67,67
10,8,10,9,47,42,41,40
1,21,25,10,28,37,19,32
20,11,8,24,83,87,92,85
11,15,25,2,30,29,35,25
8,7,23,18,68,51,56,58
7,14,13,2,38,23,35,22
18,16,9,12,59,57,72,57
9,23,8,4,27,37,35,26
15,13,10,17,95,93,87,84
17,21,15,15,74,59,61,67
10,14,18,9,31,29,29,28
19,20,13,16,62,70,68,70
22,21,19,21,78,80,78,83
10,11,5,9,38,44,28,42
10,12,21,15,40,44,35,48
1,16,20,11,18,17,34,22
11,21,13,16,47,46,51,48
9,18,25,11,38,50,30,45
17,15,12,12,58,67,56,63
6,11,10,7,36,21,31,29
9,22,9,8,50,45,64,42
8,14,16,9,20,20,23,25
6,16,17,12,53,43,47,45
13,8,15,20,66,77,82,70
4,20,7,11,42,45,39,38
8,13,13,1,24,20,14,16
15,12,25,15,84,93,86,79
7,10,21,4,37,43,40,33
8,12,22,13,53,44,50,47
11,7,18,5,40,25,33,31
5,6,9,2,33,35,29,25
4,22,25,4,40,29,24,27
12,18,18,13,44,36,31,45
14,24,19,7,47,55,50,47
9,17,14,15,53,39,37,49
14,22,7,16,82,66,77,68
12,10,10,5,23,31,38,25
12,24,22,19,66,72,56,70
11,13,8,8,35,41,35,35
13,18,14,10,58,44,59,45
23,7,13,18,76,83,77,82
6,14,17,11,38,36,34,36
13,5,5,19,73,86,90,78
22,6,7,22,86,69,67,82
10,21,18,5,36,43,35,35
12,9,25,3,41,32,27,31
7,15,8,14,44,52,52,47
3,16,16,9,14,22,25,23
8,14,24,9,62,63,60,51
10,7,12,6,47,53,37,44
10,24,9,16,65,70,68,62
8,6,7,4,31,37,24,31
5,5,19,3,27,29,27,21
15,23,16,25,88,98,86,91
15,21,19,16,57,51,59,53
16,14,10,14,76,72,81,70
15,7,21,14,75,76,63,73
6,8,25,10,28,31,27,28
11,11,7,9,63,48,45,48
3,16,19,7,28,21,24,23
3,17,9,9,30,27,18,24
9,13,15,3,16,18,15,17
8,10,13,12,30,30,50,30
13,12,6,19,61,62,64,61
15,7,16,24,82,91,95,85
17,7,8,13,80,78,69,71
11,5,23,15,57,59,74,56
17,5,8,18,67,69,58,67
20,20,11,24,95,93,82,92
4,24,10,9,17,14,25,21
11,13,10,4,30,22,28,25
23,17,17,22,83,92,96,89
15,10,16,15,73,73,73,69
17,10,19,12,85,76,76,73
15,12,25,18,58,67,68,65
5,8,21,6,30,38,41,29
23,12,25,17,80,82,90,82
21,8,21,21,71,85,76,78
18,23,21,13,73,57,71,62
21,16,21,21,82,71,82,79
5,21,11,6,28,40,34,29
6,12,14,12,37,41,35,41
9,7,25,18,63,57,59,57
16,19,13,19,54,57,63,63
11,12,6,6,26,35,42,31
4,17,8,5,46,36,41,33
17,15,21,20,81,82,75,79
4,23,23,4,29,32,33,26
17,24,13,21,91,92,78,89
20,6,5,21,88,88,95,86
21,20,16,21,79,66,69,76
23,11,21,13,88,72,85,76
6,5,24,8,19,20,28,20
14,20,10,9,35,38,45,40
4,16,5,7,16,27,20,21
16,22,13,19,70,70,63,73
21,20,6,17,81,85,72,78
9,22,7,17,73,58,56,60
20,18,16,14,82,80,73,74
2,16,24,0,13,31,16,14
15,8,19,19,86,95,88,85
13,21,15,12,78,82,71,69
18,17,17,20,72,79,72,75
3,7,24,12,35,24,35,32
15,15,14,14,47,50,52,50
11,12,25,15,66,61,70,62
20,22,23,20,68,73,75,77
6,6,19,6,55,57,42,45
2,14,9,7,19,25,24,18
15,21,23,17,85,77,78,75
5,9,18,13,38,46,44,42
22,16,14,22,75,79,69,84
14,16,7,6,49,37,36,38
7,13,6,9,51,55,48,47
13,5,16,7,37,31,45,36
10,23,23,8,40,24,37,33
11,11,16,8,40,43,45,37
9,23,5,6,33,41,36,33
13,15,11,13,80,72,65,66
11,11,18,12,40,35,36,42
1,25,24,5,29,32,28,22
8,5,9,10,64,55,44,55
6,21,10,11,49,45,32,42
17,7,11,21,70,78,63,74
15,12,11,20,69,76,72,74
20,21,8,17,78,77,78,76
7,7,11,13,44,55,52,49
15,25,19,23,94,94,99,92
10,18,15,7,17,37,37,30
15,8,23,15,66,63,55,64
21,13,12,18,72,82,70,77
19,23,18,13,77,68,73,67
13,14,5,17,84,75,83,77
1,9,15,1,28,32,27,18
9,21,10,8,62,63,50,52
2,12,11,9,25,36,34,29
15,25,7,20,63,68,72,71
16,9,21,12,45,63,58,55
15,9,12,23,76,76,85,77
15,5,7,11,69,65,70,59
16,23,6,12,69,55,64,60
22,15,11,22,67,82,69,80
13,17,11,6,45,44,57,43
10,21,22,13,33,45,39,44
4,25,19,9,21,25,27,26
22,18,25,19,91,88,90,85
16,25,9,11,62,56,57,54
7,20,7,5,19,14,22,19
2,16,24,8,19,21,32,21
8,15,6,7,18,33,17,25
15,7,5,21,85,88,77,83
10,22,10,7,57,46,57,43
16,15,25,18,73,71,89,71
21,11,16,19,95,94,99,93
6,6,13,6,47,57,53,42
18,19,23,19,76,78,94,75
18,18,24,16,48,65,56,63
17,16,19,18,93,80,88,81
15,14,14,11,64,51,63,52
16,19,17,12,80,83,70,76
10,22,23,3,33,21,34,21
7,16,11,12,28,34,38,34
14,25,17,15,87,82,86,74
6,17,19,9,24,31,31,31
7,15,20,12,40,42,31,39
8,22,21,4,22,27,26,21
5,12,17,13,27,32,34,31
12,12,14,13,75,65,73,61
8,14,5,6,46,57,39,45
15,25,9,6,53,49,49,47
23,8,20,14,80,75,81,72
17,18,23,25,93,82,89,88
14,8,16,7,56,39,40,40
5,9,24,3,30,39,28,27
9,20,9,11,50,46,37,45
9,16,21,13,57,48,44,50
18,22,14,18,81,71,82,77
14,22,14,20,89,77,74,78
3,19,23,8,23,21,18,19
3,5,25,2,18,24,29,16
19,15,5,15,72,59,75,67
12,12,25,14,31,44,30,42
8,7,18,9,35,24,37,29
15,25,17,18,70,76,65,73
18,12,5,14,55,66,65,62
14,10,6,15,76,84,83,76
14,20,8,18,62,61,57,61
2,20,7,6,27,27,31,26
10,12,8,10,54,48,41,48
11,13,6,13,33,36,48,40
23,8,19,20,92,90,97,89
13,14,15,14,81,83,74,77
14,15,16,9,62,51,62,49
18,11,21,16,81,82,72,75
11,20,22,14,56,48,60,51
19,8,10,16,73,71,71,70
14,10,5,16,85,76,72,76
4,9,12,8,44,45,44,38
2,16,15,10,20,20,22,23
15,8,20,15,61,51,56,59
14,25,19,8,39,39,46,36
14,25,23,19,62,66,80,63
12,17,18,16,76,66,62,66
11,15,16,2,22,34,25,23
16,25,18,9,63,61,60,55
17,15,16,9,55,55,48,52
1,21,12,10,27,30,36,29
7,23,10,10,39,29,37,35
10,17,13,17,52,68,72,58
10,10,17,11,34,34,25,36
11,16,7,19,71,70,77,69
24,11,5,17,77,91,92,82
8,14,25,12,52,46,56,46
20,18,17,19,82,97,90,89
7,19,18,10,35,41,43,35
17,24,22,17,69,63,68,68
17,5,6,20,81,74,83,79
10,21,22,12,52,66,66,58
8,16,21,7,29,33,36,32
10,19,6,15,65,61,67,61
15,25,8,8,61,58,64,54
9,13,24,15,51,54,47,52
3,8,20,3,31,35,21,27
13,23,20,4,31,48,38,39
13,13,21,17,62,65,59,66
20,9,14,23,80,97,84,90
5,24,5,4,26,28,34,23
5,14,23,9,46,44,44,39
18,19,24,21,74,75,77,78
16,22,17,10,58,61,47,53
11,8,5,11,63,69,65,61
18,21,9,21,75,64,73,75
15,13,17,23,82,80,99,79
0,6,20,10,32,30,14,27
19,10,10,18,71,69,58,70
4,22,24,6,19,25,24,23
1,15,18,7,24,24,12,21
13,7,6,11,53,56,58,52
10,15,21,10,43,35,43,40
15,12,11,17,57,53,63,59
5,20,8,0,23,19,22,18
21,15,20,12,69,81,64,70
16,19,22,14,72,72,84,66
22,23,11,21,88,84,75,86
18,15,5,14,67,66,67,63
13,17,17,11,50,54,60,49
11,12,24,14,54,56,60,52
10,18,19,1,23,30,37,24
2,24,12,7,29,31,35,24
24,14,13,25,83,88,81,90
22,19,13,23,83,79,82,84
14,6,14,12,51,47,44,51
16,18,16,22,76,86,87,82
10,8,11,13,43,42,50,45
6,5,13,8,35,42,45,36
2,11,16,8,20,32,12,22
8,12,12,8,18,22,21,21
10,21,14,13,60,68,77,58
10,8,12,9,50,49,62,45
13,19,8,18,79,70,78,69
19,12,7,15,96,96,95,85
18,14,16,24,90,89,93,91
16,13,7,9,58,56,48,56
8,17,5,8,49,43,39,39
12,22,9,10,31,31,36,31
12,24,19,11,36,38,33,39
17,11,14,13,74,82,91,71
18,21,24,17,100,89,88,86
8,23,23,8,57,54,52,46
12,10,16,22,81,73,84,77
8,8,19,4,29,32,18,25
19,5,11,14,69,57,75,62
18,6,11,24,87,82,85,84
11,17,19,16,67,69,69,65
10,7,24,6,24,27,23,23
22,17,9,14,94,95,84,90
15,25,8,14,54,62,64,55
9,9,13,15,58,54,40,56
7,6,24,6,28,34,28,30
21,17,25,14,72,68,67,70
11,13,24,10,21,30,35,30
7,15,21,12,49,42,41,44
11,10,12,14,34,46,42,45
8,13,17,7,38,32,46,29
9,11,23,2,17,31,17,19
12,25,7,11,73,82,77,69
20,17,18,11,74,73,71,66
6,17,16,3,32,27,41,24
7,7,10,11,42,42,37,41
4,17,10,6,14,25,24,19
6,18,17,10,28,46,35,36
7,12,19,7,45,40,33,37
22,14,16,13,79,76,74,74
15,13,15,16,71,91,89,78
18,22,22,17,72,77,62,76
13,14,17,10,37,48,40,40
11,25,7,11,72,62,59,62
16,24,19,17,62,55,60,58
15,15,12,10,74,71,67,64
17,14,20,17,79,70,73,70
15,25,10,17,52,48,62,52
19,11,20,21,79,81,74,84
11,24,15,14,47,55,48,51
5,25,14,5,38,30,22,31
13,24,21,8,63,64,58,56
11,10,17,14,57,61,74,57
15,14,7,15,60,76,57,67
7,12,5,11,18,25,33,26
22,18,14,21,96,80,82,88
5,23,23,2,21,17,24,13
15,14,8,17,60,60,61,63
8,6,20,8,46,38,53,35
17,24,9,10,59,64,63,59
13,14,25,14,64,58,48,56
12,10,8,8,31,47,46,40
14,17,24,11,65,57,68,57
23,5,15,15,92,91,94,83
5,13,22,3,31,37,37,28
24,21,13,21,84,91,92,90
4,25,13,10,22,13,23,20
12,20,23,17,60,49,44,55
14,18,6,20,61,72,69,70
8,21,15,10,26,28,34,30
7,8,5,14,53,45,51,49
15,5,20,10,73,65,70,59
15,19,6,8,62,53,60,51
16,5,20,15,82,71,78,74
20,23,25,17,63,72,71,67
17,21,23,17,51,52,60,55
18,24,14,21,68,74,83,72
17,22,20,16,75,58,60,63
9,18,7,13,58,56,60,51
3,18,25,0,15,19,27,9
17,15,23,19,65,62,77,65
17,23,12,16,81,75,67,76
15,21,15,12,78,67,80,65
17,6,5,22,80,76,72,79
7,12,13,16,44,58,50,53
10,16,8,15,54,61,58,58
14,21,16,20,89,81,90,82
10,11,11,8,29,35,35,32
7,8,18,14,55,39,52,45
16,21,24,11,56,54,47,52
7,8,14,4,16,15,29,15
14,21,15,6,41,48,40,41
10,21,19,19,68,73,58,67
13,5,15,15,69,79,74,68
8,20,7,11,41,34,32,38
23,12,11,24,89,85,81,93
3,23,21,10,31,16,20,26
8,10,18,16,68,64,62,62
10,8,20,4,37,42,44,33
9,10,18,9,24,27,14,26
15,6,25,22,89,83,82,86
14,12,15,7,34,47,37,41
9,5,6,8,26,24,23,25
14,16,21,8,45,44,45,45
7,19,13,9,33,34,34,31
4,23,24,2,22,36,28,23
9,23,13,14,54,55,60,54
18,23,8,16,96,99,98,88
9,24,20,17,57,57,68,56
15,18,15,14,53,65,55,56
20,15,20,14,78,73,77,73
7,13,22,6,39,39,51,37
16,19,11,18,67,77,68,69
23,7,25,13,74,76,82,72
21,14,25,15,79,79,83,76
11,6,25,12,42,39,55,40
10,15,5,2,35,38,29,31
12,7,20,11,55,65,54,53
3,5,17,5,28,36,27,26
10,17,20,16,65,67,56,63
14,19,21,14,77,68,72,65
11,9,11,15,45,47,47,46
9,17,12,15,58,55,63,57
12,9,17,17,71,66,69,65
5,21,15,11,48,54,47,48
9,17,24,4,29,41,33,28
24,24,16,18,79,93,95,87
16,22,14,14,90,92,87,83
15,20,6,15,73,69,53,66
11,14,5,15,72,72,70,68
17,8,14,8,62,64,56,55
16,11,6,20,86,82,83,81
14,23,14,9,47,42,53,46
4,16,18,4,36,21,40,22
0,11,6,7,26,32,23,23
8,11,6,9,27,33,26,31
2,7,21,1,31,23,18,21
0,11,16,9,24,17,20,19
8,21,14,5,32,12,23,22
12,18,17,12,35,33,28,37
21,6,10,19,68,82,72,79
17,20,11,14,74,76,82,72
20,6,12,12,76,70,78,71
14,20,21,13,53,65,57,60
15,20,23,15,76,95,89,78
20,7,15,15,69,76,61,71
14,23,22,17,53,57,48,57
5,15,25,7,41,45,32,39
12,13,17,20,69,74,72,74
0,9,25,8,14,24,28,17
16,13,20,14,60,59,52,60
14,5,8,10,63,64,64,61
20,17,21,16,89,84,87,81
19,15,9,11,68,75,81,65
10,17,14,11,51,44,55,48
3,6,13,11,32,33,35,32
10,13,15,8,33,25,31,32
7,17,8,2,23,30,31,21
14,12,10,13,67,86,68,70
12,6,23,18,73,64,71,66
1,15,20,3,31,21,19,20
8,10,7,5,29,36,27,28
14,17,21,15,67,54,52,58
0,9,25,2,32,13,19,15
18,15,12,17,83,97,92,87
15,8,24,12,44,51,44,49
11,14,25,12,42,40,58,41
15,10,21,16,85,76,68,78
8,12,10,8,36,45,29,40
13,16,5,13,68,60,77,60
18,10,12,10,73,73,59,67
17,13,8,24,80,80,88,85
11,21,13,14,42,46,48,45
14,25,22,11,69,73,75,64
21,19,17,16,85,72,86,76
15,10,15,14,73,68,65,69
7,13,14,7,28,37,23,31
15,6,11,19,95,84,77,81
9,16,15,6,42,40,36,34
4,17,9,12,33,37,34,38
25,19,25,18,87,99,89,92
5,12,18,9,15,21,21,23
16,14,7,12,70,68,65,66
1,21,5,5,35,37,24,30
19,14,24,21,82,79,94,81
5,18,24,12,35,29,28,35
8,8,17,5,39,54,40,40
19,20,16,18,90,80,77,82
25,23,9,25,92,98,87,100
20,21,8,21,82,72,68,76
8,21,23,16,61,47,45,51
7,18,21,4,28,39,41,29
19,14,17,16,71,83,66,78
21,9,10,24,95,100,88,98
9,5,6,12,55,58,56,54
15,9,7,17,66,53,54,59
10,13,23,10,27,29,40,30
15,19,14,9,51,40,39,41
10,20,14,6,23,20,28,23
21,19,22,21,81,96,95,87
17,24,9,20,74,76,75,75
17,21,14,19,60,73,73,69
17,24,17,18,85,71,79,73
16,6,7,17,65,58,57,63
11,8,12,16,55,52,49,55
11,15,9,3,28,38,45,31
9,9,5,9,47,49,51,46
13,6,11,11,40,40,38,39
17,24,16,23,93,90,77,89
11,8,8,17,59,58,54,61
20,8,17,15,75,93,76,82
6,19,15,12,47,43,44,43
10,19,19,11,42,58,46,51
22,8,13,24,82,75,90,85
14,13,25,17,74,68,77,71
20,18,8,20,70,73,68,76
2,14,11,5,32,17,23,18
12,7,14,15,79,67,76,68
16,14,20,15,86,99,95,87
16,5,7,17,63,50,56,58
8,18,21,6,39,37,37,35
9,24,16,8,39,34,28,32
10,14,12,9,54,49,64,48
18,23,18,19,77,77,67,77
3,5,21,12,38,27,37,35
23,6,16,14,73,91,77,79
7,7,24,7,55,58,48,50
13,16,9,8,52,50,51,49
16,7,18,18,69,74,57,72
12,11,19,13,72,75,74,67
16,19,14,15,63,76,69,67
17,19,25,12,77,86,77,72
16,8,8,20,88,78,80,79
12,5,11,7,45,46,44,39
19,19,25,18,63,75,69,69
11,19,9,18,79,74,72,75
15,12,21,15,36,46,51,49
3,10,16,3,34,25,25,25
5,18,15,8,44,31,48,36
6,13,20,8,38,32,26,34
15,20,21,9,44,44,53,42
12,18,14,12,68,64,56,62
13,18,5,9,36,41,47,38
12,15,5,10,55,71,72,58
11,15,9,8,48,52,59,44
11,21,12,11,50,32,50,40
12,13,15,13,53,49,59,50
2,25,16,12,36,26,41,33
15,12,17,18,91,79,88,78
19,9,8,15,94,87,93,82
10,19,23,10,26,24,28,31
18,11,15,12,67,67,81,65
5,17,5,10,45,32,35,38
12,11,12,18,62,62,58,65
8,14,16,1,30,17,16,21
13,12,21,12,73,78,81,65
22,19,7,19,70,75,67,77
9,25,11,13,47,39,33,43
6,17,17,4,45,39,34,35
5,12,8,9,43,26,36,31
11,8,10,9,37,42,39,36
24,8,20,17,86,96,84,89
19,23,22,18,89,83,95,80
14,5,13,13,41,37,40,45
1,18,13,9,16,14,15,18
10,18,13,19,66,66,70,63
8,9,15,2,32,24,31,20
12,6,12,9,60,56,66,52
10,17,17,5,35,43,41,36
2,11,21,10,22,27,34,24
17,15,8,13,73,64,77,66
6,24,6,4,20,20,22,16
14,12,8,6,41,46,43,41
14,17,8,14,48,50,53,48
22,24,10,17,85,67,68,76
14,15,14,12,41,39,39,44
7,17,22,4,18,32,16,22
9,25,7,17,52,67,67,58
4,12,14,6,29,21,22,22
9,16,23,3,22,23,20,21
14,20,16,21,83,79,72,82
18,13,6,20,68,75,63,71
9,9,5,17,57,59,62,55
10,25,9,17,70,76,65,68
7,18,24,13,64,58,45,53
25,8,17,19,87,80,80,86
17,10,23,15,82,99,86,81
17,7,23,15,70,70,58,71
14,8,12,10,63,45,56,48
12,14,8,16,76,76,79,72
21,13,14,25,89,94,96,95
13,14,11,9,62,46,50,51
7,24,12,9,53,44,57,41
20,7,9,17,72,69,83,68
12,6,9,14,45,61,56,55
15,21,16,16,53,69,58,64
3,21,6,5,35,32,31,29
11,9,17,5,27,17,31,23
12,10,8,8,40,39,54,37
6,6,13,9,30,29,29,27
6,23,11,13,39,36,53,39
4,21,12,9,40,39,40,37
21,18,16,24,88,88,75,92
22,21,20,17,78,88,72,84
7,22,15,10,30,30,28,29
5,12,7,13,44,34,41,38
24,24,16,20,97,96,85,95
14,21,14,11,39,49,42,44
13,8,5,12,30,31,34,35
5,22,11,4,21,35,38,26
13,12,23,12,46,55,57,49
12,13,12,4,28,37,31,31
11,8,15,10,19,23,20,27
15,19,18,19,80,82,99,78
5,15,5,1,22,25,17,21
19,13,5,17,64,82,70,72
14,7,25,6,47,42,48,38
9,23,18,8,32,33,37,29
14,17,19,21,72,77,79,75
11,17,7,10,29,22,30,28
13,9,23,14,87,80,87,77
15,6,6,19,71,77,78,74
14,5,19,15,67,68,57,65
7,20,17,10,19,32,24,30
4,15,11,9,31,25,26,28
9,8,11,13,41,42,33,44
3,8,5,4,18,31,22,20
20,7,12,14,69,68,77,69
20,11,23,17,73,79,77,74
10,10,9,19,59,69,69,67
20,7,24,15,66,71,67,68
12,18,16,3,31,30,26,26
11,15,14,14,55,52,37,53
15,5,25,7,47,46,54,42
14,13,15,17,52,69,57,63
14,7,6,10,48,41,41,43
17,10,15,14,76,68,83,71
18,19,8,19,71,77,65,77
20,15,8,21,99,94,93,94
18,14,12,16,70,81,82,73
11,23,10,5,40,38,33,36
7,24,22,16,63,58,64,60
10,17,8,17,59,58,63,57
8,25,22,10,31,27,13,29
12,10,11,22,81,80,67,80
6,16,17,5,29,19,27,23
2,5,19,9,25,17,12,18
9,14,14,2,24,16,16,19
11,17,18,7,51,50,41,45
12,18,23,3,32,28,28,24
12,11,21,14,43,36,39,45
7,17,8,7,49,39,43,40
6,7,7,2,16,23,24,19
7,13,22,11,44,54,48,43
20,21,10,15,78,79,85,74
8,7,25,11,46,55,58,45
16,15,15,14,77,72,66,71
10,14,16,13,37,38,31,40
3,25,19,12,38,38,41,36
16,9,22,12,56,68,58,59
19,24,6,20,88,95,88,90
14,5,12,22,76,82,80,78
17,14,8,12,69,67,64,61
20,7,19,17,72,76,86,77
9,7,12,12,36,41,30,38
12,18,14,18,86,71,84,71
16,13,6,19,89,83,85,82
8,25,17,6,23,18,18,18
6,9,22,8,52,51,40,46
15,19,21,18,71,68,64,70
10,23,15,14,33,42,42,44
4,17,21,2,31,37,30,28
7,17,9,9,63,46,63,49
24,18,8,18,92,76,80,85
13,20,14,19,67,83,77,71
5,17,5,10,28,24,23,27
7,7,25,10,50,37,48,42
17,25,19,10,54,55,55,52
11,20,12,7,43,47,39,42
25,19,7,16,91,80,92,80
3,5,15,3,31,20,24,20
18,22,6,17,60,64,72,67
8,15,21,12,51,58,44,48
7,10,9,3,27,21,26,23
13,23,19,15,53,55,51,52
12,24,17,15,79,79,80,74
16,14,13,12,57,67,53,57
18,18,22,11,65,65,51,60
2,14,8,3,12,16,32,9
10,8,18,7,35,47,47,36
13,16,11,16,64,60,74,61
15,19,10,16,65,57,54,61
4,10,24,3,24,27,35,20
12,19,10,10,58,62,59,55
12,19,17,7,58,46,59,45
11,18,10,18,50,61,56,61
10,19,12,4,25,32,32,25
16,25,23,17,72,74,78,71
13,9,11,6,35,41,46,39
24,23,16,20,91,86,75,87
15,9,23,11,73,75,65,69
5,18,7,2,25,32,29,21
13,10,25,3,29,34,45,27
24,22,8,20,86,83,95,84
16,24,15,16,74,64,71,66
10,6,18,9,46,42,44,43
16,23,24,12,77,68,61,68
8,12,14,10,41,42,41,38
12,11,9,10,34,27,30,33
22,20,14,16,69,81,80,75
2,23,11,5,23,19,23,15
7,14,11,2,31,13,24,18
22,23,10,21,78,71,77,75
12,13,16,14,49,49,50,48
17,20,12,15,80,87,89,75
16,24,5,25,87,81,81,88
5,8,7,7,51,42,53,38
14,17,10,12,67,55,72,58
21,11,9,17,75,86,86,77
14,20,22,11,71,68,58,64
9,13,9,6,41,59,49,45
19,11,12,14,57,59,70,60
12,23,7,20,63,61,73,66
6,6,22,7,43,58,48,43
13,21,21,7,37,38,42,36
3,8,16,10,24,23,32,23
17,20,6,20,75,80,72,76
14,24,10,20,80,89,95,83
9,25,13,9,48,46,45,40
15,8,20,16,82,77,93,75
11,23,20,10,68,58,50,58
14,12,12,10,65,68,77,63
24,21,10,25,94,85,86,90
13,21,5,15,86,86,81,75
13,17,20,20,60,66,74,64
5,16,22,14,44,34,41,42
17,23,9,22,83,86,76,82
15,22,17,16,76,81,75,73
10,15,25,3,21,17,28,19
16,20,18,13,62,54,59,59
20,15,13,24,87,91,92,91
2,10,9,2,23,17,25,13
9,23,8,12,44,38,50,38
6,21,7,6,48,40,53,34
18,10,23,13,78,84,81,75
20,10,9,15,83,66,71,70
8,13,9,11,29,19,18,30
21,24,15,18,91,85,96,83
2,24,15,7,29,12,26,20
14,12,22,11,47,50,62,50
9,17,20,15,57,65,66,61
17,14,25,22,81,82,77,80
14,6,15,19,66,81,82,76
19,14,8,20,94,92,97,90
18,5,10,20,66,78,78,74
11,16,5,4,17,18,36,19
19,5,15,15,66,59,63,61
13,7,24,8,60,52,66,48
24,16,12,22,90,90,87,90
5,22,5,7,39,37,35,34
14,6,22,16,88,87,83,79
16,23,15,8,63,54,50,56
19,18,14,13,59,59,77,58
19,15,16,19,76,79,73,76
10,25,23,12,60,55,55,56
16,6,6,9,60,59,61,56
17,22,12,23,85,95,94,87
7,25,16,14,37,35,43,37
11,11,12,1,35,27,36,24
10,11,24,11,37,45,40,42
11,10,11,2,33,20,25,24
10,22,22,6,23,28,26,26
14,5,17,8,44,56,58,45
20,6,25,10,61,61,70,59
13,9,6,14,49,42,31,46
6,18,16,12,30,27,40,28
17,5,18,13,72,68,77,64
17,21,22,15,78,72,88,73
18,19,22,12,76,73,73,72
9,25,7,3,17,19,22,20
6,13,14,3,17,19,21,14
10,15,18,12,58,77,61,62
22,24,14,17,79,73,74,77
17,13,16,21,73,90,71,82
6,24,17,3,19,27,22,21
17,18,18,13,83,80,85,75
17,13,25,10,73,77,77,68
6,20,8,9,42,55,49,46
11,19,24,7,25,32,34,31
15,24,23,12,75,63,57,61
14,14,15,16,72,74,72,71
18,10,9,18,85,77,80,77
9,23,9,7,48,59,58,45
12,19,5,6,48,47,40,43
8,15,14,9,57,44,44,45
19,20,17,18,71,68,81,68
18,21,18,19,73,67,82,73
14,5,12,14,55,55,48,52
20,25,24,10,58,74,77,62
18,7,16,23,86,87,87,89
12,10,9,13,66,55,54,58
11,17,16,14,78,75,62,67
12,25,18,10,50,50,55,49
6,13,11,14,30,46,40,42
14,10,19,11,40,45,38,45
22,7,15,23,88,82,81,89
17,16,13,16,63,65,75,64
2,16,25,2,37,22,31,19
12,24,10,5,37,45,26,38
17,10,14,18,55,63,63,65
6,6,22,7,36,30,50,27
15,5,9,13,43,46,36,46
8,9,19,11,33,21,29,30
4,19,20,11,27,44,41,36
18,15,9,16,60,72,69,68
14,17,13,19,93,88,87,85
16,21,11,16,82,87,90,79
15,18,7,19,74,79,83,75
7,13,11,10,18,29,16,26
21,23,7,21,64,76,77,78
